INFO 2020-12-12 14:27:24,591 judge_handler Judge authenticated: ('127.0.0.1', 34458) (kalia)
INFO 2020-12-12 14:27:24,606 judge_list Dispatched queued submission 3: kalia
INFO 2020-12-12 14:27:24,776 judge_handler Submission acknowledged: 3
INFO 2020-12-12 14:27:24,853 judge_handler kalia: Submission generated compiler messages: 3
INFO 2020-12-12 14:27:24,888 judge_handler kalia: Grading has begun on: 3
INFO 2020-12-12 14:27:24,924 judge_handler kalia: 1 test case(s) completed on: 3
INFO 2020-12-12 14:27:25,000 judge_handler kalia: 2 test case(s) completed on: 3
INFO 2020-12-12 14:27:25,101 judge_handler kalia: Grading has ended on: 3
INFO 2020-12-12 14:27:25,102 judge_list Judge available after grading 3: kalia
INFO 2020-12-12 14:27:34,529 judge_handler Judge disconnected from: ('127.0.0.1', 34458) with name kalia
INFO 2020-12-12 14:27:36,216 daemon Exiting due to SIGINT
INFO 2020-12-12 14:52:11,095 judge_handler Judge connected from: ('127.0.0.1', 37382)
INFO 2020-12-12 14:52:11,101 judge_handler Judge authenticated: ('127.0.0.1', 37382) (kalia)
INFO 2020-12-12 14:54:02,593 judge_list Free judges: 1
INFO 2020-12-12 14:54:02,594 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:54:02,621 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:54:02,811 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:54:02,842 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:54:02,902 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:54:02,977 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:54:02,977 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:54:14,255 judge_list Free judges: 1
INFO 2020-12-12 14:54:14,256 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:54:14,279 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:54:14,423 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:54:14,463 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:54:14,575 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:54:14,675 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:54:14,777 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:54:14,778 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:54:25,579 judge_list Free judges: 1
INFO 2020-12-12 14:54:25,580 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:54:28,581 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:54:28,715 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:54:28,816 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:54:28,853 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:54:28,929 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:54:29,194 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:54:29,196 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:54:58,368 judge_list Free judges: 1
INFO 2020-12-12 14:54:58,370 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:54:58,408 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:54:58,554 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:54:58,767 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:54:58,803 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:54:58,868 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:54:58,869 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:12,766 judge_list Free judges: 1
INFO 2020-12-12 14:55:12,766 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:12,836 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:12,977 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:13,267 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:14,413 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:55:15,897 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:55:16,145 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:16,146 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:17,209 judge_list Free judges: 1
INFO 2020-12-12 14:55:17,209 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:17,220 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:17,295 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:17,327 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:17,478 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:17,719 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:17,720 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:19,248 judge_list Free judges: 1
INFO 2020-12-12 14:55:19,248 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:19,294 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:19,363 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:19,402 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:19,539 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:19,772 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:19,773 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:22,489 judge_list Free judges: 1
INFO 2020-12-12 14:55:22,490 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:22,514 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:22,944 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:22,978 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:23,048 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:23,157 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:23,158 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:24,142 judge_list Free judges: 1
INFO 2020-12-12 14:55:24,143 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:24,166 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:24,295 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:24,351 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:24,387 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:55:24,493 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:55:24,571 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:24,572 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:25,361 judge_list Free judges: 1
INFO 2020-12-12 14:55:25,363 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:25,383 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:25,520 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:25,552 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:25,638 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:55:25,759 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:55:26,334 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:26,335 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:26,722 judge_list Free judges: 1
INFO 2020-12-12 14:55:26,723 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:26,747 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:26,888 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:27,006 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:27,080 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:27,151 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:27,151 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:28,108 judge_list Free judges: 1
INFO 2020-12-12 14:55:28,109 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:28,131 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:28,319 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:28,398 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:28,479 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:55:28,765 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:55:28,935 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:28,936 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:32,254 judge_list Free judges: 1
INFO 2020-12-12 14:55:32,256 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:32,276 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:32,416 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:32,448 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:32,589 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:32,705 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:32,707 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:33,578 judge_list Free judges: 1
INFO 2020-12-12 14:55:33,579 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:33,602 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:33,730 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:33,793 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:33,973 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:34,807 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:34,808 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:36,826 judge_list Free judges: 1
INFO 2020-12-12 14:55:36,827 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:37,922 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:39,906 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:40,237 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:40,354 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:55:40,633 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:55:40,745 judge_handler kalia: Grading has ended on: 4
